item_id,title,category,item_type,era,year_hint,materials,condition_score,rarity_score,true_value,prompt_image,image_filename
it_fmmiapdv,Georgian Porcelain Figurine,ceramics,figurine,Georgian,1812,"['porcelain', 'earthenware']",0.65,0.81,120,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare georgian figurine made of porcelain, earthenware. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_fmmiapdv.png
it_rqbksr3w,Edwardian Brass Mantel Clock,clocks,mantel clock,Edwardian,1908,"['brass', 'glass']",0.77,0.01,100,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common edwardian mantel clock made of brass, glass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_rqbksr3w.png
it_4x0crjmt,Georgian Cloth Cover Map Folio,books,map folio,Georgian,1764,"['cloth cover', 'leather']",0.92,0.19,98,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common georgian map folio made of cloth cover, leather. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_4x0crjmt.png
it_69os3ckr,Art Deco Brass Carriage Clock,clocks,carriage clock,Art Deco,1938,"['brass', 'glass']",0.56,0.61,274,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single uncommon art deco carriage clock made of brass, glass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_69os3ckr.png
it_2y8wawsz,Art Deco Ceramic Ornament,decor,ornament,Art Deco,1925,"['ceramic', 'brass']",0.85,0.14,27,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common art deco ornament made of ceramic, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_2y8wawsz.png
it_1mmx85pz,Georgian Brass Carriage Clock,clocks,carriage clock,Georgian,1815,"['brass', 'bakelite']",0.9,0.29,188,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common georgian carriage clock made of brass, bakelite. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_1mmx85pz.png
it_ntmegvp0,Retro 70s Wood Antique Hammer,tools,antique hammer,Retro 70s,1973,"['wood', 'brass']",0.71,0.39,34,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common retro 70s antique hammer made of wood, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_ntmegvp0.png
it_sestn6mj,Edwardian Brass Stool,furniture,stool,Edwardian,1908,"['brass', 'iron']",0.38,0.76,112,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single rare edwardian stool made of brass, iron. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: poor condition, noticeable damage and wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_sestn6mj.png
it_vdte67e6,Victorian Canvas Landscape Painting,art,landscape painting,Victorian,1878,"['canvas', 'wood frame']",0.72,0.25,178,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common victorian landscape painting made of canvas, wood frame. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_vdte67e6.png
it_a2v8mvym,Vintage 80s Brass Small Cabinet Handle Set,furniture,small cabinet handle set,Vintage 80s,1980,"['brass', 'iron']",0.77,0.07,95,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common vintage 80s small cabinet handle set made of brass, iron. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_a2v8mvym.png
it_74nck6sv,Retro 70s Wood Wall Shelf,furniture,wall shelf,Retro 70s,1976,"['wood', 'brass']",0.67,0.2,67,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common retro 70s wall shelf made of wood, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: fair condition with visible wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_74nck6sv.png
it_xjpuiys6,Georgian Porcelain Plate,ceramics,plate,Georgian,1789,"['porcelain', 'earthenware']",0.84,0.15,179,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common georgian plate made of porcelain, earthenware. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_xjpuiys6.png
it_ln7vbs6v,Georgian Glass Perfume Bottle,glassware,perfume bottle,Georgian,1737,"['glass', 'crystal']",0.86,0.25,150,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common georgian perfume bottle made of glass, crystal. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_ln7vbs6v.png
it_bayhjf0t,Edwardian Glass Decanter,glassware,decanter,Edwardian,1907,"['glass', 'crystal']",0.85,0.05,90,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common edwardian decanter made of glass, crystal. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: excellent condition. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_bayhjf0t.png
it_o2qcpxsf,Art Deco Glass Picture Frame,decor,picture frame,Art Deco,1934,"['glass', 'brass']",0.76,0.01,161,"flat cartoon illustration, BBC daytime TV graphics style circa early 2000s, clean outlines, soft shading, muted warm colour palette, friendly and readable, no realism, no photorealism, simple shapes, suitable for a 2D game, isolated object, transparent background, no text, no watermark. Subject: a single common art deco picture frame made of glass, brass. Design: simple readable silhouette, slightly exaggerated features, charming imperfections. Condition: good condition with minor wear. Framing: centered, no background scene, no props, no people.",assets/items/generated/it_o2qcpxsf.png
